نماد	p/e	بازار	گروه
تليسه	27.34	2	01
زماهان	21.04	2	01
آبين	189.33	4	01
زقيام	12.73	2	01
زگلدشت	10.51	2	01
زكشت	42.1	2	01
زپارس	18.67	1	01
زدشت	16.56	2	01
زشگزا	17.83	2	01
زفكا	9.6	2	01
زشريف	29.3	2	01
زبينا	19	2	01
زمگسا	17.13	1	01
كطبس	13.97	1	10
كشرق	63.8	2	10
كپرور	17.18	2	10
حفاري	15.2	1	11
كنور	8.35	1	13
كروي	11.5	1	13
كمنگنز	9.07	1	13
تاصيكو	9.5	1	13
كگل	6.31	1	13
كدما	55.01	1	13
تكنار	-37.84	4	13
كچاد	5.05	1	13
كبافق	251.09	1	13
كاما	6.61	1	13
ومعادن	8.81	1	13
كماسه	48.14	1	14
نطرين	14.55	2	17
نبروج	3.3	1	17
نشار	1.09	4	17
نتوس	-590.55	4	17
نمرينو	145.18	1	17
وملي	4205.87	1	19
چفيبر	-261.25	1	20
چنوپا	0.09	4	20
چكارن	75.09	1	21
چكاپا	14.15	2	21
چكاوه	-78.68	1	21
چافست	24.32	1	22
شبهرن	6.58	1	23
شسپا	5	1	23
شبريز	4.96	1	23
شراز	5.55	2	23
ونفت	10.14	1	23
شپاس	8.99	2	23
شبندر	4.32	1	23
شاوان	6.97	2	23
شنفت	8.87	1	23
شپنا	3.73	1	23
شرانل	7.51	2	23
شتران	4.46	1	23
شزنگ	-95.59	4	23
پتاير	7.32	1	25
پلوله	-0.76	4	25
پشاهن	13.85	4	25
پلاسك	-21.7	1	25
پسهند	12.23	1	25
پدرخش	13.44	1	25
پارتا	28.78	4	25
پلاست	-4.93	4	25
پكرمان	21.29	1	25
پكوير	87.89	1	25
پاسا	9.06	1	25
ماديرا	8.87	2	26
فخاس	21.78	1	27
وسديد	-33	4	27
فجر	5.29	1	27
فرآور	13.69	1	27
فايرا	5.02	1	27
فولاژ	5.8	1	27
كوير	7.18	1	27
فزرين	15.13	2	27
فاهواز	-28.31	4	27
هرمز	7.03	2	27
فافزا	27.42	4	27
فسپا	6.89	1	27
فماك	-294.29	2	27
فملي	4.85	1	27
فولاد	3.65	1	27
وتوكا	16.18	1	27
فخوز	4.43	1	27
كيميا	7.47	2	27
فسازان	16.36	1	27
فپنتا	30.76	1	27
فسرب	18.73	1	27
ميدكو	20	2	27
فروس	16.67	1	27
فنورد	24.22	1	27
زنگان	79.67	2	27
فسديد	-2.12	4	27
فنوال	14.03	1	27
فولاي	12.13	2	27
فباهنر	8.87	1	27
فالوم	-95.07	4	27
فاسمين	5.85	1	27
ارفع	6.22	2	27
فنفت	34.23	4	27
فوكا	-12.72	4	27
فمراد	-73.28	1	27
ذوب	11.8	2	27
كاوه	6.37	1	27
فجام	17.81	1	28
فلامي	12.07	1	28
فاذر	49.7	1	28
فبستم	31.59	4	28
فجوش	-0.42	4	28
چدن	6.79	1	28
فبيرا	11.19	4	28
فاراك	24.63	1	28
فنرژي	-1.54	4	28
فاما	8.54	1	28
لازما	-62.94	4	29
تايرا	8.57	1	29
تپمپي	15.1	1	29
لبوتان	24.05	1	29
تكشا	19.95	1	29
لابسا	17.54	1	29
لخانه	35.99	4	29
لخزر	14.53	1	29
تفيرو	-16.27	4	29
لسرما	21.52	1	29
تكنو	216.32	1	29
تمحركه	109.7	1	29
وتوشه	8.56	1	29
تكمبا	56.98	1	29
بشهاب	12.9	1	31
بترانس	16.65	1	31
بكام	76.23	1	31
بكاب	78.4	1	31
بتك	216.73	4	31
بسويچ	17.04	1	31
بايكا	-14.58	4	31
بالبر	52.71	1	31
بنيرو	13.4	1	31
بموتو	7.35	1	31
نيرو	12.82	4	31
لكما	-33.05	4	32
لپيام	51.31	4	32
لپارس	34.4	1	32
خرينگ	173.45	1	34
ختوقا	117.52	1	34
خمحور	66.14	1	34
خمحركه	41.67	1	34
خنصير	41.7	1	34
خاهن	41.07	1	34
خكاوه	-0.9	4	34
خچرخش	121.12	1	34
خزاميا	-13.31	1	34
خزر	34.18	1	34
خگستر	290.63	1	34
خوساز	205.72	1	34
خديزل	6.9	2	34
ورنا	15.72	1	34
خساپا	-1.2	1	34
خشرق	514.38	1	34
خليبل	-0.89	4	34
خكار	24.01	1	34
خاذين	-17.7	1	34
ختور	19.23	1	34
خپارس	-1.38	1	34
خفنر	40.23	1	34
خودرو	-1.02	1	34
ختراك	16.15	1	34
تشتاد	-89.35	4	34
خبهمن	6.91	1	34
خكمك	1629.33	1	34
خاور	-0.6	4	34
خريخت	-36.12	1	34
خمهر	-7.78	1	34
خلنت	19.4	1	34
خفناور	-125.61	4	34
خپويش	10.4	1	34
خموتور	35.84	1	34
قزوين	11.5	1	38
قاروم	3.23	4	38
قشهد	16.61	1	38
قثابت	333.78	1	38
قچار	18.81	2	38
قشكر	293.48	1	38
قمرو	15.96	1	38
قهكمت	10.56	1	38
قلرست	28.16	1	38
قصفها	16.03	1	38
قشرين	127.73	4	38
قنقش	34.43	4	38
قپيرا	20.32	1	38
قنيشا	18.17	1	38
قشير	35.14	2	38
وغدير	8.56	1	39
وصندوق	4.91	1	39
واميد	7.78	1	39
وبانك	5.17	1	39
دماوند	59.25	2	40
بفجر	5.94	1	40
بزاگرس	24.89	2	40
بمپنا	37.23	2	40
ونيرو	19.47	1	40
وهور	26	2	40
بكهنوج	-20.77	2	40
مبين	4.76	1	40
بجهرم	133.56	2	40
غنوش	109.9	1	42
غمارگ	16.78	1	42
خودكفا	28.52	4	42
غويتا	19.66	2	42
غپآذر	44.05	2	42
غشوكو	23.34	4	42
غمهرا	28.79	1	42
غيوان	-24.15	4	42
غاذر	20.29	1	42
غديس	15.73	2	42
غسالم	45.03	1	42
غگل	19.74	1	42
وبشهر	10.55	1	42
بهپاك	14.24	2	42
غشهد	3.16	1	42
غگرجي	21.37	1	42
غبهنوش	50.33	1	42
غصينو	14.85	4	42
غنيلي	-49.19	2	42
غشاذر	43.16	1	42
غشان	39.25	1	42
غپاك	-45.78	1	42
غفارس	56.96	2	42
غبشهر	12.5	1	42
غگلستا	85.63	2	42
غچين	21.31	1	42
غمينو	14.94	2	42
غدام	17.09	1	42
غالبر	24.39	1	42
غدشت	106.89	1	42
غشصفا	18.44	1	42
غپينو	18.47	1	42
غگلپا	18.77	2	42
غگز	-17.86	2	42
غشهداب	7.1	2	42
تبرك	9.38	2	42
غپونه	14.02	4	42
دپارس	9.65	1	43
دروز	82.13	1	43
دجابر	12.26	1	43
دسانكو	72.71	2	43
دالبر	13.05	1	43
درهآور	41.62	2	43
دعبيد	40.95	1	43
دبالك	29.65	2	43
بركت	69	1	43
شتهران	8.17	4	43
دتماد	14.62	1	43
دفارا	6.01	1	43
درازك	11.66	1	43
ريشمك	19.29	2	43
تيپيكو	8.59	1	43
دلقما	45.44	1	43
دامين	9.83	1	43
كاسپين	9.97	2	43
دكيمي	9.2	1	43
ددام	89.73	1	43
والبر	10.25	1	43
دقاضي	18.87	4	43
دسبحان	11.1	1	43
دتهران‌	8.95	4	43
دشيمي	24.02	1	43
دتوزيع	18.24	2	43
وپخش	11.5	1	43
ديران	28.65	1	43
دكپسول	16.14	2	43
داسوه	10.91	1	43
دكوثر	17.92	1	43
دفرا	11.24	1	43
شفا	10.8	1	43
پخش	16.94	2	43
هجرت	11.02	2	43
دتوليد	32.55	2	43
دشيري	8.65	4	43
داوه	43.77	2	43
دلر	8.21	1	43
كي بي سي	18.72	2	43
دزهراوي	-104.75	1	43
دسبحا	11.69	1	43
دارو	9.74	1	43
دابور	11.15	1	43
دحاوي	10.66	4	43
دسينا	15	1	43
شاملا	9.79	1	44
شجم	19.01	4	44
شاراك	4.77	1	44
شپديس	4.8	1	44
شغدير	5.15	2	44
شسينا	17	1	44
شمواد	-560.75	4	44
مارون	7.04	2	44
تاپيكو	6.65	1	44
شوينده	12.83	1	44
جم پيلن	5.5	1	44
شدوص	12.3	1	44
پاكشو	14.63	1	44
شرنگي	74.61	4	44
ساينا	9.01	2	44
شبصير	5.09	2	44
زاگرس	3.97	2	44
جم	5.88	1	44
داراب	70.91	4	44
نوري	7.99	1	44
شيران	7.35	1	44
شكربن	16.66	1	44
شكف	-2.08	4	44
شكلر	11.06	1	44
شتولي	-0.59	4	44
شپلي	-13.82	4	44
فسا	68.5	4	44
شپترو	-5.76	4	44
شصفها	3.78	4	44
پترول	8.64	1	44
شپاكسا	5.67	1	44
شپارس	15.76	1	44
شگل	8.82	1	44
فارس	6.31	1	44
شستان	-370	4	44
شفن	3.41	1	44
شفارس	57.9	1	44
شلرد	-1571.5	4	44
جهرم	86.56	4	44
كازرو	-284.5	4	44
شفارا	-153.73	4	44
پارسان	6.28	1	44
خراسان	4.22	1	44
پارس	5.39	1	44
شكبير	7.16	4	44
كرماشا	5.27	1	44
وپترو	84.04	1	44
شتوكا	23.37	2	44
شيراز	5.38	1	44
شسم	-46.74	4	44
شلعاب	446.36	1	44
شخارك	6.04	1	44
ممسني	-362.57	4	44
زنجان	-2242	4	44
خصدرا	74.55	4	45
وپسا	333.17	4	45
بالاس	23.62	2	45
بميلا	6.46	4	46
افق	17.07	1	47
قاسم	35.77	2	47
كحافظ	-227.5	1	49
كلوند	15.48	1	49
كپارس	11.73	1	49
كصدف	-76.46	4	49
كهرام	-50.36	4	49
كساوه	10.69	1	49
كترام	23.05	1	49
كسعدي	20.06	1	49
سخاش	8.77	1	53
سمتاز	7.77	4	53
سدور	2517	1	53
سشرق	7.7	1	53
سغرب	17.38	1	53
سكارون	-8.15	4	53
ساروم	7.65	1	53
سجام	-5.43	4	53
سخزر	8.36	1	53
سفانو	6.54	1	53
سكرد	-2502	1	53
ساروج	7.92	4	53
سبهان	10.05	1	53
سشمال	10.25	1	53
ساراب	7.88	1	53
سهرمز	10.33	1	53
سصفها	47.7	1	53
سرود	15.03	1	53
سيدكو	13.19	1	53
ساربيل	8.72	1	53
سباقر	10.27	4	53
سصوفي	14.25	1	53
سنير	15.95	1	53
سلار	726.67	4	53
سكرما	7.5	1	53
سفارس	14.54	1	53
سفار	20.77	1	53
سهگمت	12.38	1	53
سخواف	-93.06	4	53
سبزوا	7.53	2	53
سدشت	36.66	1	53
ستران	-2472.67	1	53
سخوز	8.24	1	53
سپاها	204.27	1	53
سقاين	22.96	1	53
سيلام	115.52	1	53
سمازن	14.3	1	53
كفرآور	-54.44	4	54
كگاز	21.94	1	54
كورز	13.38	4	54
كمينا	70.56	4	54
كفرا	8.55	1	54
سايرا	-8.95	4	54
كفپارس	-66.49	1	54
كقزوي	20.8	4	54
سپرمي	-3.93	4	54
كمرجان	81.99	2	54
كساپا	46.45	1	54
كابگن	-2.09	4	54
كاذر	10.73	1	54
كباده	1.35	4	54
كسرام	-43.39	1	54
كخاك	9.82	1	54
كتوكا	7.6	2	54
سفاسي	-181.78	4	54
كايتا	268.88	4	54
كهمدا	8.92	1	54
كپشير	30.84	1	54
كرازي	9.43	1	54
سفارود	-7.25	4	54
كسرا	24.36	1	54
گكيش	71.96	4	55
گپارس	78.32	4	55
سمگا	-1658.75	2	55
گكوثر	32.96	2	55
وبهمن	11.65	1	56
سرچشمه	6.4	2	56
وصنعت	3.93	1	56
وجامي	15.54	4	56
سنوين	755.4	4	56
واتي	7.88	1	56
پرديس	3.92	1	56
وآداك	1459.5	4	56
وگستر	6.59	2	56
ونيكي	5.75	1	56
وبيمه	33.88	1	56
آريان	23.71	4	56
وتوصا	31.36	1	56
وتوسم	3.92	1	56
وكادو	27.1	4	56
وآرين	2.99	4	56
وسبحان	4.05	2	56
وصنا	4.77	1	56
وخارزم	10.6	1	56
وسكاب	3.33	1	56
وبرق	34.13	4	56
معيار 	-15400	4	56
وبوعلي	4.32	1	56
سدبير	12.99	2	56
واعتبار	5.91	1	56
وملت	50.18	4	56
وشمال	-34.96	4	56
وسپه	5.8	1	56
فلات	154.89	4	56
وساپا	16.46	1	56
گوهران	4.61	2	56
