نماد	p/e	بازار	گروه
زمگسا	17.23	1	01
زشگزا	18.9	2	01
زپارس	18.9	1	01
تليسه	27.56	2	01
زدشت	17.2	2	01
زشريف	28.96	2	01
زماهان	21.51	2	01
زبينا	19.7	2	01
زقيام	11.92	2	01
زگلدشت	10.78	2	01
زفكا	9.99	2	01
آبين	171.36	4	01
زكشت	36.8	2	01
كطبس	13.19	1	10
كپرور	16.28	2	10
كشرق	60.03	2	10
حفاري	14.32	1	11
كنور	8.72	1	13
كمنگنز	9.87	1	13
كروي	12.03	1	13
تاصيكو	10.01	1	13
كاما	6.86	1	13
كچاد	5.16	1	13
كبافق	262.77	1	13
ومعادن	9.15	1	13
كگل	6.31	1	13
كدما	60.51	1	13
تكنار	-37.74	4	13
كماسه	54.09	1	14
نتوس	-642.42	4	17
نشار	1.09	4	17
نطرين	15.61	2	17
نمرينو	148.98	1	17
نبروج	3.3	1	17
وملي	3911.8	1	19
چفيبر	-274.5	1	20
چنوپا	0.09	4	20
چكاوه	-81.24	1	21
چكاپا	13.13	2	21
چكارن	81.86	1	21
چافست	23.65	1	22
شرانل	7.69	2	23
شبريز	5.24	1	23
شبندر	4.5	1	23
شزنگ	-99.88	4	23
شپاس	8.61	2	23
شسپا	5.21	1	23
شپنا	3.82	1	23
شبهرن	6.78	1	23
شاوان	7.38	2	23
شتران	4.71	1	23
ونفت	9.73	1	23
شنفت	8.97	1	23
شراز	5.51	2	23
پلاسك	-20.73	1	25
پلاست	-4.7	4	25
پشاهن	13.85	4	25
پكوير	87.03	1	25
پتاير	7.8	1	25
پارتا	26.37	4	25
پكرمان	22.01	1	25
پسهند	11.69	1	25
پاسا	9.67	1	25
پلوله	-0.76	4	25
ماديرا	9.34	2	26
فلوله	1249.44	1	27
فزرين	15.08	2	27
فپنتا	30.93	1	27
فرآور	14.54	1	27
فافزا	25.89	4	27
فاهواز	-26.19	4	27
فولاژ	5.82	1	27
فجر	5.31	1	27
كاوه	6.58	1	27
فسديد	-2.07	4	27
زنگان	88.39	2	27
فسازان	16.52	1	27
فايرا	4.96	1	27
فنفت	33.04	4	27
ارفع	6.44	2	27
فباهنر	7.65	1	27
فولاد	3.72	1	27
فخاس	22.25	1	27
فخوز	4.38	1	27
فولاي	12.2	2	27
وسديد	-31.12	4	27
فالوم	-91.14	4	27
وتوكا	16.74	1	27
فوكا	-11.99	4	27
فنوال	14.11	1	27
فملي	4.93	1	27
فسرب	19.52	1	27
فمراد	-69.87	1	27
فروس	16.44	1	27
فسپا	7.01	1	27
ذوب	12.43	2	27
كوير	6.24	1	27
ميدكو	20.64	2	27
هرمز	7.22	2	27
فنورد	21.03	1	27
كيميا	7.96	2	27
فبيرا	10.98	4	28
فلامي	10.43	1	28
فجوش	-0.42	4	28
فنرژي	-1.41	4	28
فاذر	46.97	1	28
فجام	16.57	1	28
فاما	8.79	1	28
چدن	6.3	1	28
فاراك	24.18	1	28
فبستم	31.59	4	28
تكنو	211.21	1	29
تفيرو	-15.95	4	29
تايرا	8.6	1	29
لبوتان	23.85	1	29
لازما	-58.4	4	29
لخزر	12.78	1	29
تپمپي	16.24	1	29
تكمبا	53.98	1	29
وتوشه	8.97	1	29
لسرما	20.3	1	29
تمحركه	105.46	1	29
تكشا	21.41	1	29
لخانه	32.31	4	29
لابسا	15.41	1	29
بكاب	81.54	1	31
بنيرو	13.61	1	31
بايكا	-13.49	4	31
بالبر	58.87	1	31
نيرو	12.01	4	31
بتك	216.73	4	31
بشهاب	11.9	1	31
بسويچ	17.22	1	31
بترانس	15.42	1	31
بموتو	7.9	1	31
بكام	75.78	1	31
لكما	-29.41	4	32
لپارس	30.01	1	32
لپيام	48.37	4	32
خزر	32.09	1	34
خمهر	-7.66	1	34
ختوقا	110.87	1	34
ختور	18.74	1	34
خاور	-0.56	4	34
خوساز	200.39	1	34
خپويش	10.55	1	34
خفناور	-115.22	4	34
ختراك	14.15	1	34
خزاميا	-13.19	1	34
خكمك	1690.67	1	34
خنصير	36.51	1	34
خديزل	7.24	2	34
خاذين	-16.89	1	34
خلنت	17.56	1	34
خفنر	35.47	1	34
خگستر	288.09	1	34
خشرق	503.25	1	34
خكار	22.86	1	34
تشتاد	-83.89	4	34
خپارس	-1.38	1	34
خمحركه	36.13	1	34
خچرخش	120.65	1	34
خموتور	31.66	1	34
خكاوه	-0.88	4	34
خودرو	-0.99	1	34
خريخت	-35.12	1	34
خساپا	-1.17	1	34
خرينگ	165.1	1	34
خبهمن	6.72	1	34
خاهن	40.82	1	34
خمحور	64.78	1	34
ورنا	15.47	1	34
قمرو	15.23	1	38
قهكمت	10.56	1	38
قشير	30.74	2	38
قشكر	291.48	1	38
قزوين	11.71	1	38
قنيشا	18.93	1	38
قچار	19.26	2	38
قلرست	25.69	1	38
قاروم	3.23	4	38
قثابت	319.03	1	38
قصفها	16.39	1	38
قپيرا	20.84	1	38
قشهد	15.58	1	38
قنقش	34.33	4	38
قشرين	116.46	4	38
وصندوق	4.97	1	39
واميد	7.95	1	39
وغدير	8.7	1	39
وبانك	5.24	1	39
بمپنا	40.62	2	40
ونيرو	18.36	1	40
مبين	4.97	1	40
بزاگرس	23.99	2	40
بجهرم	139	2	40
وهور	24.67	2	40
بفجر	6.14	1	40
بكهنوج	-18.47	2	40
دماوند	58.63	2	40
غمهرا	25.76	1	42
غگل	18.37	1	42
غويتا	20.69	2	42
غشهداب	7.51	2	42
غشهد	3.34	1	42
غشصفا	18.53	1	42
غفارس	58.26	2	42
غمينو	14.77	2	42
غگز	-17.03	2	42
بهپاك	15.12	2	42
غدام	16.02	1	42
غمارگ	18.25	1	42
غدشت	199.07	1	42
غسالم	42.96	1	42
خودكفا	29.23	4	42
غشوكو	20.99	4	42
غگلپا	18.51	2	42
غپاك	-46.41	1	42
وبشهر	11.04	1	42
غپآذر	103.15	2	42
غبشهر	13.13	1	42
غيوان	-22.77	4	42
غنيلي	-51.61	2	42
تبرك	10.41	2	42
غاذر	21.98	1	42
غپونه	13.95	4	42
غبهنوش	43.48	1	42
غپينو	19.73	1	42
غنوش	101.09	1	42
غشاذر	41.93	1	42
غديس	16.04	2	42
غگرجي	20.52	1	42
غچين	21.98	1	42
غصينو	15.38	4	42
غالبر	25.81	1	42
غشان	40.52	1	42
غگلستا	92.74	2	42
شتهران	8.17	4	43
تيپيكو	8.81	1	43
دارو	9.81	1	43
دلر	8.43	1	43
دلقما	46.46	1	43
دتوزيع	19.1	2	43
ددام	85.11	1	43
دروز	73.79	1	43
داوه	40.77	2	43
دجابر	12.54	1	43
هجرت	11.89	2	43
كاسپين	9.6	2	43
دحاوي	10.43	4	43
دسبحا	10.88	1	43
دشيمي	21.08	1	43
دسبحان	10.41	1	43
ريشمك	19.18	2	43
وپخش	11.19	1	43
دقاضي	19.01	4	43
