نماد	p/e	بازار	گروه
زشگزا	18.57	2	01
زماهان	21.87	2	01
زمگسا	16.88	1	01
زبينا	19.35	2	01
زفكا	9.93	2	01
تليسه	28.75	2	01
زپارس	19.16	1	01
زشريف	29.72	2	01
زقيام	12.49	2	01
زدشت	17.07	2	01
زكشت	40.09	2	01
زگلدشت	10.16	2	01
آبين	184.73	4	01
كطبس	14.33	1	10
كپرور	17.66	2	10
كشرق	63.82	2	10
حفاري	15.44	1	11
كگل	6.34	1	13
ومعادن	9.05	1	13
تاصيكو	9.68	1	13
كروي	11.59	1	13
كنور	8.64	1	13
كچاد	5.11	1	13
تكنار	-38.16	4	13
كمنگنز	9.48	1	13
كدما	56.28	1	13
كاما	6.49	1	13
كبافق	256.15	1	13
كماسه	50.45	1	14
نطرين	14.6	2	17
نتوس	-592	4	17
نشار	1.09	4	17
نبروج	3.3	1	17
نمرينو	138.43	1	17
وملي	4176.13	1	19
چفيبر	-273.25	1	20
چنوپا	0.09	4	20
چكاوه	-81.32	1	21
چكارن	77.85	1	21
چافست	25.26	1	22
شتران	4.61	1	23
شپنا	3.78	1	23
شاوان	7.05	2	23
شسپا	5.08	1	23
ونفت	10.45	1	23
شرانل	7.65	2	23
شراز	5.53	2	23
شبريز	5.08	1	23
شبهرن	6.77	1	23
شنفت	9.25	1	23
شزنگ	-98.54	4	23
شبندر	4.41	1	23
شپاس	9.22	2	23
پكوير	89.94	1	25
پلوله	-0.75	4	25
پدرخش	12.8	1	25
پلاست	-4.8	4	25
پسهند	12.71	1	25
پتاير	7.64	1	25
پارتا	27.94	4	25
پلاسك	-22.44	1	25
پكرمان	21.52	1	25
پشاهن	13.85	4	25
پاسا	9.47	1	25
ماديرا	9.28	2	26
فولاي	12.28	2	27
فاسمين	5.96	1	27
فولاد	3.67	1	27
فوكا	-12.47	4	27
فسازان	16.52	1	27
وتوكا	16.52	1	27
هرمز	7.11	2	27
فنفت	33.68	4	27
فخاس	22	1	27
كاوه	6.4	1	27
فافزا	27.71	4	27
فزرين	14.48	2	27
كوير	6.84	1	27
فسپا	7.04	1	27
فنوال	14.61	1	27
ذوب	12.28	2	27
فرآور	14.07	1	27
فملي	4.88	1	27
فسرب	19.33	1	27
فخوز	4.43	1	27
فروس	17.5	1	27
فپنتا	29.36	1	27
فايرا	5.22	1	27
ارفع	6.39	2	27
فاهواز	-27.77	4	27
وسديد	-32.36	4	27
كيميا	7.59	2	27
فجر	5.28	1	27
فولاژ	5.92	1	27
زنگان	83.36	2	27
فسديد	-2.1	4	27
فنورد	23.07	1	27
فالوم	-96.46	4	27
فباهنر	8.65	1	27
ميدكو	20.19	2	27
فاذر	47.36	1	28
فاراك	24.58	1	28
فنرژي	-1.49	4	28
فلامي	11.5	1	28
فجوش	-0.42	4	28
فاما	8.49	1	28
فبيرا	11.51	4	28
فبستم	31.59	4	28
فجام	17.72	1	28
چدن	6.83	1	28
لسرما	22.13	1	29
لابسا	16.73	1	29
تفيرو	-15.95	4	29
تكنو	224.46	1	29
وتوشه	8.64	1	29
تپمپي	15.3	1	29
لخزر	13.88	1	29
تكمبا	56.96	1	29
تمحركه	108.46	1	29
تايرا	8.56	1	29
لبوتان	24.41	1	29
لخانه	34.94	4	29
لازما	-61.8	4	29
تكشا	20.71	1	29
بسويچ	17.13	1	31
بكام	74.61	1	31
بايكا	-14.16	4	31
بموتو	7.57	1	31
بتك	216.73	4	31
بشهاب	12.79	1	31
بنيرو	13.97	1	31
بكاب	75.52	1	31
نيرو	12.72	4	31
بترانس	16.8	1	31
بالبر	54.4	1	31
لپارس	32.94	1	32
لپيام	50.31	4	32
لكما	-31.18	4	32
خزر	34.54	1	34
خاور	-0.59	4	34
خشرق	527	1	34
خوساز	210.56	1	34
خديزل	7.15	2	34
خموتور	34.61	1	34
خپارس	-1.38	1	34
خمحور	66.05	1	34
خاهن	42.31	1	34
خاذين	-18.13	1	34
ختوقا	115.11	1	34
خكاوه	-0.92	4	34
خمهر	-7.86	1	34
خگستر	288.13	1	34
تشتاد	-88.24	4	34
ختور	18.41	1	34
خنصير	40.01	1	34
خلنت	19.05	1	34
خفناور	-121.96	4	34
خفنر	38.56	1	34
خودرو	-1.02	1	34
خپويش	10.42	1	34
خرينگ	174.69	1	34
ختراك	15.38	1	34
خزاميا	-13.48	1	34
خچرخش	123.54	1	34
خكار	24.93	1	34
خكمك	1674.33	1	34
خمحركه	39.7	1	34
خساپا	-1.19	1	34
خبهمن	6.94	1	34
خريخت	-35.29	1	34
ورنا	15.9	1	34
قچار	18.61	2	38
قنيشا	18.87	1	38
قلرست	27.59	1	38
قشكر	299.35	1	38
قزوين	12.01	1	38
قشرين	124.8	4	38
قهكمت	11.04	1	38
قشهد	16.4	1	38
قنقش	33.76	4	38
قپيرا	20.33	1	38
قاروم	3.23	4	38
قمرو	15.21	1	38
قثابت	319.68	1	38
قشير	33.47	2	38
قصفها	16.3	1	38
وغدير	8.67	1	39
وصندوق	4.97	1	39
وبانك	5.24	1	39
واميد	7.85	1	39
وهور	26.33	2	40
بفجر	6.07	1	40
بكهنوج	-20.17	2	40
بمپنا	39.09	2	40
دماوند	59.37	2	40
بجهرم	135.67	2	40
بزاگرس	25.14	2	40
ونيرو	20.02	1	40
مبين	4.84	1	40
غپاك	-47.84	1	42
غشاذر	43.15	1	42
غشصفا	18.85	1	42
غچين	22.3	1	42
غدشت	110.03	1	42
خودكفا	29.19	4	42
غگل	19.87	1	42
غسالم	45.65	1	42
غنيلي	-49.19	2	42
غمينو	14.77	2	42
غپآذر	44.42	2	42
غگز	-17.86	2	42
غشهد	3.28	1	42
غگرجي	21.93	1	42
غصينو	15.17	4	42
غشان	38.26	1	42
غمهرا	27.52	1	42
غشهداب	7.34	2	42
غپونه	14.21	4	42
غپينو	19.31	1	42
غگلستا	89.07	2	42
غبهنوش	47.93	1	42
غاذر	20.66	1	42
غفارس	57.97	2	42
غدام	17.33	1	42
غبشهر	13.07	1	42
غالبر	25.68	1	42
تبرك	9.67	2	42
غمارگ	17.36	1	42
غگلپا	18.03	2	42
وبشهر	10.77	1	42
غديس	15.99	2	42
غويتا	20.09	2	42
بهپاك	14.77	2	42
