نماد	p/e	بازار	گروه
زبينا	18.8	2	01
زكشت	35.05	2	01
آبين	166.38	4	01
زگلدشت	10.28	2	01
زشريف	27.68	2	01
زشگزا	18.01	2	01
تليسه	26.25	2	01
زفكا	9.52	2	01
زدشت	16.38	2	01
زمگسا	16.41	1	01
زقيام	11.35	2	01
زماهان	20.58	2	01
زپارس	18.56	1	01
كپرور	15.51	2	10
كشرق	57.17	2	10
كطبس	12.56	1	10
حفاري	13.67	1	11
كدما	57.73	1	13
كنور	8.31	1	13
كبافق	250.79	1	13
كاما	6.69	1	13
كروي	11.59	1	13
كمنگنز	9.43	1	13
كچاد	5.18	1	13
تكنار	-37.63	4	13
كگل	6.31	1	13
تاصيكو	9.69	1	13
ومعادن	9.12	1	13
كماسه	51.8	1	14
نشار	1.09	4	17
نتوس	-662.9	4	17
نمرينو	145.96	1	17
نطرين	15.08	2	17
نبروج	3.3	1	17
وملي	3879.2	1	19
چفيبر	-263.92	1	20
چنوپا	0.09	4	20
چكاپا	12.59	2	21
چكاوه	-77.4	1	21
چكارن	78.4	1	21
چافست	22.76	1	22
شبهرن	6.87	1	23
شبريز	5.09	1	23
شزنگ	-96.98	4	23
شسپا	5.17	1	23
شتران	4.65	1	23
شنفت	8.97	1	23
شاوان	7.43	2	23
شپاس	8.24	2	23
شرانل	7.75	2	23
ونفت	9.29	1	23
شراز	5.28	2	23
شبندر	4.5	1	23
شپنا	3.8	1	23
پاسا	9.36	1	25
پارتا	26.89	4	25
پكوير	83.72	1	25
پلاست	-4.56	4	25
پسهند	11.14	1	25
پلوله	-0.77	4	25
پلاسك	-19.74	1	25
پشاهن	13.85	4	25
پدرخش	12.19	1	25
پكرمان	21.48	1	25
پتاير	7.47	1	25
ماديرا	9.26	2	26
فسرب	18.7	1	27
فنورد	21.01	1	27
ارفع	6.38	2	27
فنفت	32.09	4	27
كاوه	6.56	1	27
فخوز	4.36	1	27
فنوال	13.44	1	27
فلوله	1192.33	1	27
كيميا	7.66	2	27
وتوكا	15.98	1	27
فخاس	22.15	1	27
فرآور	14.41	1	27
فولاد	3.69	1	27
فالوم	-88.5	4	27
فسازان	15.79	1	27
هرمز	7.26	2	27
فاهواز	-25.69	4	27
فملي	4.92	1	27
فزرين	14.43	2	27
فايرا	4.8	1	27
كوير	6.32	1	27
فافزا	25.14	4	27
فوكا	-11.92	4	27
فولاي	11.83	2	27
فسديد	-2.09	4	27
فاسمين	5.86	1	27
فباهنر	7.36	1	27
ميدكو	20.48	2	27
زنگان	84.19	2	27
فسپا	6.83	1	27
فپنتا	30.72	1	27
وسديد	-31.25	4	27
فروس	15.84	1	27
فجر	5.3	1	27
ذوب	11.91	2	27
فولاژ	5.58	1	27
فمراد	-66.83	1	27
فاما	8.47	1	28
فاذر	47.61	1	28
فاراك	24.22	1	28
فجام	15.79	1	28
فبستم	32.52	4	28
فنرژي	-1.38	4	28
چدن	6	1	28
فلامي	9.95	1	28
فبيرا	10.67	4	28
فجوش	-0.42	4	28
تايرا	8.39	1	29
تمحركه	100.44	1	29
وتوشه	8.56	1	29
تكنو	940	1	29
لازما	-58.4	4	29
تكمبا	51.43	1	29
لخزر	12.5	1	29
لابسا	14.67	1	29
لسرما	19.34	1	29
تكشا	20.39	1	29
