نماد	p/e	بازار	گروه
زدشت	16.45	2	01
آبين	193.87	4	01
زپارس	18.04	1	01
زمگسا	16.99	1	01
زماهان	20.73	2	01
سيمرغ	179.69	1	01
زشريف	28.89	2	01
زشگزا	17.88	2	01
زقيام	13.23	2	01
زبينا	18.19	2	01
تليسه	26.07	2	01
زفكا	9.8	2	01
زگلدشت	10.99	2	01
كطبس	13.7	1	10
كپرور	16.92	2	10
كشرق	64.04	2	10
حفاري	15.01	1	11
تاصيكو	9.48	1	13
تكنار	-37.8	4	13
كبافق	248.32	1	13
كروي	11.84	1	13
كنور	8.27	1	13
كگل	6.29	1	13
كدما	55.82	1	13
ومعادن	8.89	1	13
كچاد	5.07	1	13
كمنگنز	9.19	1	13
كاما	6.96	1	13
كماسه	48.19	1	14
نطرين	14.86	2	17
نبروج	3.46	1	17
نتوس	-608.26	4	17
نمرينو	147.89	1	17
نشار	1.09	4	17
وملي	4287.47	1	19
چنوپا	0.09	4	20
چفيبر	-259.08	1	20
چكاوه	-76.96	1	21
چكارن	75.41	1	21
چكاپا	13.87	2	21
چافست	24.72	1	22
شنفت	8.84	1	23
شبهرن	6.55	1	23
شتران	4.43	1	23
شاوان	6.99	2	23
شسپا	4.92	1	23
شبريز	4.98	1	23
شپنا	3.71	1	23
شرانل	7.53	2	23
شراز	5.58	2	23
شزنگ	-94.07	4	23
ونفت	10.01	1	23
شپاس	8.99	2	23
شبندر	4.34	1	23
پارتا	29.64	4	25
پلاست	-5.08	4	25
پسهند	12.5	1	25
پكرمان	21.25	1	25
پتاير	7.36	1	25
پشاهن	13.85	4	25
پاسا	9.06	1	25
پلاسك	-22.31	1	25
پدرخش	14.12	1	25
پكوير	87.95	1	25
پلوله	-0.76	4	25
ماديرا	8.52	2	26
فپنتا	31.07	1	27
فايرا	5.17	1	27
فروس	16.43	1	27
فولاد	3.64	1	27
فاهواز	-28.87	4	27
فسرب	18.38	1	27
فافزا	26.62	4	27
فسديد	-2.14	4	27
وتوكا	16.18	1	27
فسازان	16.42	1	27
فجر	5.32	1	27
ذوب	11.59	2	27
فلوله	1276.56	1	27
فزرين	15.65	2	27
وسديد	-34.31	4	27
كوير	7.53	1	27
فولاي	12.01	2	27
ميدكو	20.03	2	27
فنورد	24.09	1	27
فولاژ	5.69	1	27
هرمز	7.03	2	27
فسپا	6.75	1	27
فملي	4.86	1	27
فخوز	4.45	1	27
فوكا	-12.87	4	27
فاسمين	5.89	1	27
زنگان	78.06	2	27
كيميا	7.44	2	27
كاوه	6.34	1	27
فباهنر	9.3	1	27
فالوم	-96	4	27
فرآور	13.33	1	27
